iter	Logloss
261	0.395720985
262	0.3955209773
263	0.3952352647
264	0.3949242767
265	0.3945585661
266	0.3942891374
267	0.393986611
268	0.3936434757
269	0.3933229874
270	0.3931195564
271	0.3927663699
272	0.3924506423
273	0.392191862
274	0.3918909421
275	0.3915732
276	0.3913329747
277	0.3909114059
278	0.3905171606
279	0.3902439384
280	0.3899553787
281	0.3895186152
282	0.3891135659
283	0.3888793502
284	0.3886808608
285	0.3883718746
286	0.3881217578
287	0.3876543611
288	0.3874036639
289	0.3870294791
290	0.3867496374
291	0.3863617846
292	0.3861106248
293	0.385902778
294	0.3855016902
295	0.3852778539
296	0.3850448495
297	0.3847356909
298	0.3844550292
299	0.3841670287
300	0.3837907916
301	0.3833329079
302	0.3830642866
303	0.382928809
304	0.3826875911
305	0.3824074004
306	0.3820297796
307	0.3818336158
308	0.3814321706
309	0.3811658414
310	0.3809654678
311	0.38063079
312	0.3802919991
313	0.3801168
314	0.3798475311
315	0.3794944749
316	0.3791966293
317	0.3789033972
318	0.3785259909
319	0.3781855851
320	0.3778642304
321	0.3774834513
322	0.3773002237
323	0.3770123915
324	0.3767784913
325	0.376517234
326	0.376251258
327	0.3759050696
328	0.3755706903
329	0.3753290645
330	0.375068703
331	0.37498267
332	0.3746253873
333	0.3742191099
334	0.3739741154
335	0.3735966376
336	0.3732676667
337	0.3730098243
338	0.3727226481
339	0.3725363001
340	0.3721884042
341	0.3719577297
342	0.3717549463
343	0.3714722281
344	0.3712215435
345	0.3710419286
346	0.3707815796
347	0.3704982179
348	0.3701754123
349	0.369922217
350	0.369673896
351	0.3693840704
352	0.3692149819
353	0.3689490144
354	0.3686931401
355	0.3683969725
356	0.3681735231
357	0.3679565713
358	0.3676805567
359	0.3673960931
360	0.3670957704
361	0.3667842105
362	0.3665360492
363	0.3663600847
364	0.3662076376
365	0.3659449672
366	0.3657994509
367	0.3656457422
368	0.3653790008
369	0.3650676469
370	0.3647669626
371	0.3644909059
372	0.3642297159
373	0.3639920475
374	0.3637629332
375	0.363564225
376	0.363261501
377	0.3629852004
378	0.3627884814
379	0.362541523
380	0.3623036149
381	0.361991218
382	0.3616710367
383	0.3614546611
384	0.3611332012
385	0.36089658
386	0.360730671
387	0.3605375562
388	0.3602978229
389	0.3599856279
390	0.3596487001
391	0.3593843433
392	0.3591608056
393	0.3589505111
394	0.3588038887
395	0.3585974802
396	0.3581773582
397	0.3579446565
398	0.3576936103
399	0.3573798761
